SampleID,Name,Site,PlotType,PlotID,Forest_status,Grazing_status,QuadratID,Species,DOMIN,Grid_X,Grid_Y,PlotID
166,Athnamulloch 20,2,2,,Unforested,Grazed,NA,Carex pilulifera,NA,208220,819946,
170,Athnamulloch 21,2,2,,Unforested,Grazed,NA,Cirsium palustre,NA,208220,819946,
164,Athnamulloch 22,2,2,,Unforested,Grazed,NA,Juncus effusus,NA,208220,819946,
169,Athnamulloch 23,2,2,,Unforested,Grazed,NA,Luzula campestris,NA,208220,819946,
168,Athnamulloch 24,2,2,,Unforested,Grazed,NA,Polytrichum sp.,NA,208220,819946,
165,Athnamulloch 25,2,2,,Unforested,Grazed,NA,Succisa pratensis,NA,208220,819946,
162,Athnamulloch 26,2,2,,Unforested,Grazed,NA,Vaccinium myrtillus,NA,208220,819946,
167,Athnamulloch 27,2,2,,Unforested,Grazed,1,Deschampsia cespitosa,6,205803,818004,
171,Athnamulloch 28,2,2,,Unforested,Grazed,1,Holcus lanatus,6,205803,818004,
106,Athnamulloch 2,2,3,6,Unforested,Ungrazed,1,Hylocomium splendens,10,205803,818004,6
114,Athnamulloch 3,2,3,,Unforested,Ungrazed,1,Litter,5,205803,818004,
111,Athnamulloch 4,2,3,,Unforested,Ungrazed,1,Rhytidiadelphus sp.,3,205803,818004,
116,Athnamulloch 5,2,3,,Unforested,Ungrazed,1,Rumex acetosa,4,205803,818004,
117,Athnamulloch 6,2,3,,Unforested,Ungrazed,2,Deschampsia cespitosa,7,205803,818004,
115,Athnamulloch 7,2,3,,Unforested,Ungrazed,2,Hylocomium splendens,8,205803,818004,
110,Athnamulloch 8,2,3,,Unforested,Ungrazed,2,Litter,5,205803,818004,
113,Athnamulloch 9,2,3,,Unforested,Ungrazed,2,Poa pratensis,4,205803,818004,
108,Athnamulloch 10,2,3,,Unforested,Ungrazed,2,Ranunculus ficaria,6,205803,818004,
112,Athnamulloch 11,2,3,,Unforested,Ungrazed,2,Rhytidiadelphus sp.,4,205803,818004,
109,Athnamulloch 12,2,3,,Unforested,Ungrazed,3,Bare ground,5,205803,818004,
107,Athnamulloch 13,2,3,,Unforested,Ungrazed,3,Deschampsia cespitosa,7,205803,818004,
120,Athnamulloch 14,2,3,,Unforested,Ungrazed,3,Hylocomium splendens,6,205803,818004,
124,Athnamulloch 15,2,3,,Unforested,Ungrazed,3,Litter,6,205803,818004,
119,Athnamulloch 16,2,3,,Unforested,Ungrazed,3,Poa pratensis,6,205803,818004,
130,Athnamulloch 17,2,3,,Unforested,Ungrazed,3,Ranunculus ficaria,6,205803,818004,
121,Athnamulloch 18,2,3,,Unforested,Ungrazed,3,Rhytidiadelphus sp.,4,205803,818004,
129,Athnamulloch 19,2,3,,Unforested,Ungrazed,3,Rumex acetosa,3,205803,818004,
123,Athnamulloch 20,2,3,,Unforested,Ungrazed,NA,Anemone nemorosa,NA,205803,818004,
122,Athnamulloch 21,2,3,,Unforested,Ungrazed,NA,Poa trivialis,NA,205803,818004,
128,Athnamulloch 22,2,3,,Unforested,Ungrazed,1,Deschampsia cespitosa,5,205205,818463,
