ID,Species,geometryOrig
38,Carabus violaceus,POINT (228676  816354)
38,Cychrus caraboides,POINT (228676  816354)
38,Pterostichus madidus,POINT (228676  816354)
39,Agonum ericeti,POINT (228711  816323)
39,Bradycellus ruficollis,POINT (228711  816323)
39,Pterostichus diligens,POINT (228711  816323)
39,Carabus violaceus,POINT (228711  816323)
39,Pterostichus diligens,POINT (228711  816323)
39,Pterostichus madidus,POINT (228711  816323)
39,Carabus violaceus,POINT (228711  816323)
40,Pterostichus diligens,POINT (228610  816350)
40,Pterostichus rhaeticus,POINT (228610  816350)
40,Pterostichus madidus,POINT (228610  816350)
40,Pterostichus rhaeticus,POINT (228610  816350)
40,Carabus problematicus,POINT (228610  816350)
40,Pterostichus diligens,POINT (228610  816350)
41,Carabus glabratus,POINT (223910  826257)
41,Carabus violaceus,POINT (223910  826257)
41,Pterostichus oblongopunctatus,POINT (223910  826257)
41,Abax parallelepipidus,POINT (223910  826257)
41,Calathus micropterus,POINT (223910  826257)
41,Carabus glabratus,POINT (223910  826257)
41,Carabus violaceus,POINT (223910  826257)
41,Cychrus caraboides,POINT (223910  826257)
41,Calathus micropterus,POINT (223910  826257)
41,Carabus glabratus,POINT (223910  826257)
41,Carabus violaceus,POINT (223910  826257)
41,Cychrus caraboides,POINT (223910  826257)
41,Loricera pilicornis,POINT (223910  826257)
41,Trechus obtusus,POINT (223910  826257)
42,Carabus violaceus,POINT (223873  826234)
42,Pterostichus oblongopunctatus,POINT (223873  826234)
42,Calathus micropterus,POINT (223873  826234)
42,Cychrus caraboides,POINT (223873  826234)
43,Calathus micropterus,POINT (217390  822196)
43,Carabus glabratus,POINT (217390  822196)
43,Carabus problematicus,POINT (217390  822196)
43,Carabus violaceus,POINT (217390  822196)
43,Calathus micropterus,POINT (217390  822196)
43,Carabus problematicus,POINT (217390  822196)
43,Calathus micropterus,POINT (217390  822196)
43,Carabus glabratus,POINT (217390  822196)
43,Carabus problematicus,POINT (217390  822196)
43,Cychrus caraboides,POINT (217390  822196)
43,Trechus obtusus,POINT (217390  822196)
44,Carabus glabratus,POINT (217398  822197)
44,Cychrus caraboides,POINT (217398  822197)
44,Calathus micropterus,POINT (217398  822197)
44,Carabus glabratus,POINT (217398  822197)
44,Calathus micropterus,POINT (217398  822197)
44,Carabus problematicus,POINT (217398  822197)
44,Carabus violaceus,POINT (217398  822197)
45,Carabus glabratus,POINT (220711  825142)
45,Carabus violaceus,POINT (220711  825142)
45,Carabus glabratus,POINT (220711  825142)
45,Carabus problematicus,POINT (220711  825142)
45,Carabus violaceus,POINT (220711  825142)
45,Cychrus caraboides,POINT (220711  825142)
46,Pterostichus rhaeticus,POINT (220773  825120)
46,Pterostichus rhaeticus,POINT (220773  825120)
46,Carabus problematicus,POINT (220773  825120)
46,Cychrus caraboides,POINT (220773  825120)
46,Pterostichus diligens,POINT (220773  825120)
46,Pterostichus rhaeticus,POINT (220773  825120)
47,Carabus glabratus,POINT (220715  825199)
47,Carabus violaceus,POINT (220715  825199)
47,Cychrus caraboides,POINT (220715  825199)
47,Pterostichus rhaeticus,POINT (220715  825199)
47,Carabus glabratus,POINT (220715  825199)
47,Pterostichus rhaeticus,POINT (220715  825199)
47,Carabus glabratus,POINT (220715  825199)
47,Cychrus caraboides,POINT (220715  825199)
47,Pterostichus diligens,POINT (220715  825199)
48,Carabus glabratus,POINT (220682  824835)
48,Carabus glabratus,POINT (220682  824835)
48,Carabus problematicus,POINT (220682  824835)
48,Carabus glabratus,POINT (220682  824835)
48,Carabus problematicus,POINT (220682  824835)
49,Carabus glabratus,POINT (220581  825081)
49,Carabus problematicus,POINT (220581  825081)
49,Carabus violaceus,POINT (220581  825081)
49,Carabus glabratus,POINT (220581  825081)
49,Carabus glabratus,POINT (220581  825081)
49,Carabus problematicus,POINT (220581  825081)
49,Cychrus caraboides,POINT (220581  825081)
50,Calathus micropterus,POINT (222513  824993)
50,Carabus problematicus,POINT (222513  824993)
50,Trechus obtusus,POINT (222513  824993)
50,Calathus micropterus,POINT (222513  824993)
50,Carabus glabratus,POINT (222513  824993)
50,Carabus glabratus,POINT (222513  824993)
50,Carabus problematicus,POINT (222513  824993)
50,Carabus violaceus,POINT (222513  824993)
50,Pterostichus diligens,POINT (222513  824993)
50,Trechus obtusus,POINT (222513  824993)
51,Carabus problematicus,POINT (222581  825048)
51,Pterostichus diligens,POINT (222581  825048)
51,Pterostichus rhaeticus,POINT (222581  825048)
51,Abax parallelepipidus,POINT (222581  825048)
51,Cychrus caraboides,POINT (222581  825048)
51,Pterostichus diligens,POINT (222581  825048)
51,Pterostichus rhaeticus,POINT (222581  825048)
51,Agonum ericeti,POINT (222581  825048)
51,Carabus glabratus,POINT (222581  825048)
51,Carabus problematicus,POINT (222581  825048)
51,Carabus violaceus,POINT (222581  825048)
51,Cychrus caraboides,POINT (222581  825048)
51,Pterostichus diligens,POINT (222581  825048)
52,Agonum ericeti,POINT (222970  825352)
52,Pterostichus diligens,POINT (222970  825352)
52,Pterostichus madidus,POINT (222970  825352)
52,Pterostichus niger,POINT (222970  825352)
52,Pterostichus rhaeticus,POINT (222970  825352)
52,Abax parallelepipidus,POINT (222970  825352)
52,Pterostichus diligens,POINT (222970  825352)
52,Abax parallelepipidus,POINT (222970  825352)
52,Carabus glabratus,POINT (222970  825352)
52,Carabus violaceus,POINT (222970  825352)
52,Cychrus caraboides,POINT (222970  825352)
52,Pterostichus diligens,POINT (222970  825352)
52,Pterostichus niger,POINT (222970  825352)
52,Pterostichus rhaeticus,POINT (222970  825352)
52,Trechus obtusus,POINT (222970  825352)
